major,url,coursedepartment,coursemodeofstudy,education_background
Criminology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-criminology,"Centre for Criminology, Faculty of Law",        Full time  ,        3-4 years  
Criminology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-criminology-pt,"Centre for Criminology, Faculty of Law",        Part time  ,        6-8 years  
Criminology and Criminal Justice MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-criminology-and-criminal-justice,"Centre for Criminology, Faculty of Law",        Full time  ,        9 months  
Criminology and Criminal Justice MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-criminology-and-criminal-justice-pt,"Centre for Criminology, Faculty of Law",        Part time  ,        21 months  
Cuneiform Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-cuneiform-studies,Faculty of Oriental Studies,        Full time  ,        21 months  
Development Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-development-studies,Department of International Development,        Full time  ,        21 months  
Diplomatic Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-diplomatic-studies,Department for Continuing Education,        Full time  ,        1 year  
Diplomatic Studies PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-diplomatic-studies,Department for Continuing Education,        Full time  ,        9 months  
Earth Sciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-earth-sciences,Department of Earth Sciences,        Full time  ,        3-4 years  
Eastern Christian Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-eastern-christian-studies,Faculty of Oriental Studies,        Full time  ,        21 months  
Ecological Survey Techniques PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-ecological-survey-techniques,Department for Continuing Education,        Part time  ,        1 year  
Economic and Social History MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-economic-and-social-history,"Department of Economics, Faculty of History",        Full time  ,        21 months  
Economic and Social History MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-economic-and-social-history,"Department of Economics, Faculty of History",        Full time  ,        11 months  
Economics combined MPhil and DPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-dphil-economics,Department of Economics,        Full time  ,        5 years  
Economics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-economics,Department of Economics,        Full time  ,        3-4 years  
Economics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-economics-pt,Department of Economics,        Part time  ,        6-8 years  
Economics MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-economics,Department of Economics,        Full time  ,        21 months  
Economics for Development MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-economics-development,"Department of Economics, Department of International Development",        Full time  ,        9 months  
Education DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-education,Department of Education,        Full time  ,        3-4 years  
Education DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-education-pt,Department of Education,        Part time  ,        6-8 years  
Education (Child Development and Education) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-education-child-development-and-education,Department of Education,        Full time  ,        1 year  
Education (Comparative and International Education) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-education-comparative-and-international-education,Department of Education,        Full time  ,        1 year  
Education (Digital and Social Change) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-education-digital-and-social-change,Department of Education,        Full time  ,        1 year  
Education (Higher Education) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-education-higher-education,Department of Education,        Full time  ,        1 year  
Education (Research Design and Methodology) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-education-research-design-and-methodology,Department of Education,        Full time  ,        1 year  
Education (Research Design and Methodology) MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-education-research-design-and-methodology-pt,Department of Education,        Part time  ,        2 years  
Educational Assessment MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-educational-assessment,Department of Education,        Part time  ,        2 years  
Egyptology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-egyptology,Faculty of Oriental Studies,        Full time  ,        21 months  
Energy Systems MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-energy-systems,Department of Engineering Science,        Full time  ,        1 year  
Energy Systems MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-energy-systems-pt2yr,Department of Engineering Science,        Part time  ,        2 years  
Energy Systems MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-energy-systems-pt3yr,Department of Engineering Science,        Part time  ,        3 years  
Engineering Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-engineering-science,Department of Engineering Science,        Full time  ,        3-4 years  
Engineering Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-engineering-science-pt,Department of Engineering Science,        Part time  ,        6-8 years  
Engineering Science MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-engineering-science,Department of Engineering Science,        Full time  ,        2-3 years  
English DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-english,Faculty of English Language and Literature,        Full time  ,        3-4 years  
English DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-english-pt,Faculty of English Language and Literature,        Part time  ,        6-8 years  
